adm1_gaulcode,adm1_name,adm2_gaulcode,adm2_name,mkt_id,mkt_name
40277,Cascades,12117,Comoe,129,Banfora
40286,Plateau Central,12130,Kourweogo,130,Bousse
40288,Sud-ouest,12114,Bougouriba,131,Diebougou
40287,Sahel,12147,Soum,132,Djibo
40287,Sahel,12145,Seno,133,Dori
40283,Est,12120,Gourma,134,Fada N'Gourma
40287,Sahel,12140,Oudalan,135,Gorom Gorom
40285,Nord,12154,Zondoma,136,Gourcy
40280,Centre-nord,12111,Bam,137,Kongoussi
40281,Centre-ouest,12116,Boulkiemde,138,Koudougou
40278,Centre,12123,Kadiogo,139,Ouagadougo (Sankaryare)
40279,Centre-est,12115,Boulgou,140,Tenkodogo
40276,Boucle Du Mouhoun,12148,Sourou,141,Tougan
40283,Est,12149,Tapoa,1043,Namouno (CBM)
40279,Centre-est,0,NA,1802,Pouytenga
40280,Centre-nord,0,NA,1803,Kaya
40281,Centre-ouest,0,NA,1804,Leo
40282,Centre-sud,0,NA,1805,Guelwongo
40284,Hauts-bassins,0,NA,1806,Nieneta
40276,Boucle Du Mouhoun,0,NA,1892,Dedougou
40285,Nord,0,NA,1893,Ouahigouya
12927,Ouaddai,65501,Kachimel-abeche,228,Abeche
875,Lac,65415,Bol,229,Bol
12915,Kanem,65670,Sultanat,230,Mao
873,Guera,65428,Dadjo-i,231,Mongo
12918,Logone Oriental,65585,Mbaikoro,232,Moundou
12914,Barl El Gazal,65623,Moussoro,233,Moussoro
12912,Hadjer Lamis,65629,Ndjamena,234,Ndjamena
12923,Barh Koh,65663,Sarh,235,Sarh
12918,Logone Oriental,65479,Gore,236,Gore
881,Salamat,65375,Barh-azoum-am-timan,1962,Am Timan
12905,Batha Ouest,0,NA,2279,Ati
12904,Batha Est,0,NA,2280,Oum Hadjer
12924,Lac Iro,65550,Kyabe,2281,Kyabe
12925,Mandoul,65546,Koumra,2282,Koumra
12925,Mandoul,65604,Moissala,2283,Moissala
12925,Mandoul,65652,Peni-tchad,2284,Peni
12923,Barh Koh,65577,Maro,2285,Maro
881,Salamat,65691,Yalnas-abou-deia,2286,Aboudeia
12910,Baguirmi,65423,Bousso,2287,Bousso
12930,Tandjile Est,65552,Lai,2289,Lai
12928,Sila,65489,Goz-beida,2290,Goz Beida
12915,Kanem,65639,Nokou,2291,Nokou
876,Logone Occidental,65395,Benoye,2292,Benoye
870,Biltine,0,NA,2294,Biltine
12912,Hadjer Lamis,65579,Massakory,2295,Massakory
12911,Daraba,65414,Bokoro/tania,2296,Bokoro
12915,Kanem,65636,Ngouri,2297,Ngouri
876,Logone Occidental,65387,Beinamar,2298,Mbainamar
12912,Hadjer Lamis,65562,Madiago,2299,Mandelia
870,Biltine,65523,Kobe-sud,2300,Iriba
12928,Sila,65489,Goz-beida,2301,Amdam
