adm2_name,adm2_pcod3
Kadiogo,BFA013000
Ganzourgou,BFA055001
Oubritenga,BFA055003
Kourweogo,BFA055002
Bazega,BFA051001
Nahouri,BFA051002
Zoundweogo,BFA051003
Boulgou,BFA048001
Kouritenga,BFA048003
Koulpelogo,BFA048002
Houet,BFA053001
Kenedougou,BFA053002
Tuy,BFA053003
Comoe,BFA047001
Leraba,BFA047002
Bam,BFA049001
Namentenga,BFA049002
Sanmatenga,BFA049003
Boulkiemde,BFA050001
Sanguie,BFA050002
Sissili,BFA050003
Ziro,BFA050004
Oudalan,BFA056001
Seno,BFA056002
Soum,BFA056003
Yagha,BFA056004
Passore,BFA054002
Yatenga,BFA054003
Loroum,BFA054001
Zondoma,BFA054004
Bale,BFA046001
Banwa,BFA046002
Kossi,BFA046003
Mouhoun,BFA046004
Nayala,BFA046005
Sourou,BFA046006
Bougouriba,BFA057001
Ioba,BFA057002
Noumbiel,BFA057003
Poni,BFA057004
Gnagna,BFA052001
Gourma,BFA052002
Komonjdjari,BFA052003
Tapoa,BFA052005
Kompienga,BFA052004
Tombouctou,MLI006005
Gourma-Rharous,MLI006003
Goundam,MLI006002
Niafunke,MLI006004
Dire,MLI006001
Abeibara,MLI008001
Tessalit,MLI008003
Tin-Essako,MLI008004
Kidal,MLI008002
Koulikoro,MLI002006
Banamba,MLI002001
Dioila,MLI002002
Kangaba,MLI002003
Kati,MLI002004
Kolokani,MLI002005
Nara,MLI002007
Kenieba,MLI001004
Bafoulabe,MLI001001
Kita,MLI001005
Kayes,MLI001003
Diema,MLI001002
Nioro,MLI001006
Yelimane,MLI001007
Baroueli,MLI004001
Bla,MLI004002
Macina,MLI004003
Niono,MLI004004
San,MLI004005
Segou,MLI004006
Tominian,MLI004007
Bougouni,MLI003001
Kadiolo,MLI003002
Kolondieba,MLI003003
Koutiala,MLI003004
Sikasso,MLI003005
Yanfolila,MLI003006
Yorosso,MLI003007
Gao,MLI007003
Ansongo,MLI007001
Menaka,MLI007004
Bourem,MLI007002
Mopti,MLI005006
Koro,MLI005005
Youwarou,MLI005008
Bankass,MLI005002
Bandiagara,MLI005001
Djenne,MLI005003
Douentza,MLI005004
Tenenkou,MLI005007
Commune I,NA
Tchirozerine,NER001006
Aderbissinat,NER001001
Arlit,NER001002
Iferouane,NER001004
Bilma,NER001003
Ingall,NER001005
Dogondoutchi,NER003003
Tibiri (Doutchi),NER003008
Boboye,NER003001
Loga,NER003007
Gaya,NER003006
Dioundiou,NER003002
Dosso,NER003004
Abala,NER006001
Ayerou,NER006002
Balleyara,NER006003
Banibangou,NER006004
Bankilare,NER006005
Filingue,NER006006
Gotheye,NER006007
Kollo,NER006008
Ouallam,NER006009
Say,NER006010
Tera,NER006011
Tillaberi,NER006012
Torodi,NER006013
Maine-Soroa,NER002004
Goudoumaria,NER002003
Bosso,NER002001
Diffa,NER002002
N'gourti,NER002005
N'guigmi,NER002006
Abalak,NER005001
Bagaroua,NER005002
Birni N'konni,NER005003
Bouza,NER005004
Illela,NER005005
Keita,NER005006
Madaoua,NER005007
Malbaza,NER005008
Tahoua,NER005009
Tassara,NER005010
Tchintabaraden,NER005011
Tillia,NER005012
Aguie,NER004001
Bermo,NER004002
Dakoro,NER004003
Gazaoua,NER004004
Guidan-Roumdji,NER004005
Madarounfa,NER004006
Mayahi,NER004008
Tessaoua,NER004009
Kantche,NER007005
Magaria,NER007006
Dungass,NER007003
Goure,NER007004
Mirriah,NER007007
Damagaram Takaya,NER007002
Takeita,NER007008
Belbedji,NER007001
Tanout,NER007009
Tesker,NER007010
Falmey,NER003005
Ville De Tahoua,NER005013
Ville De Maradi,NER004007
Ville De Zinder,NER007011
Madagali,NGA002010
Michika,NGA002013
Mubi North,NGA002014
Mubi South,NGA002015
Maiha,NGA002011
Gombi,NGA002005
Hong,NGA002007
Song,NGA002018
Gireri,NGA002004
Yola North,NGA002020
Yola South,NGA002021
Fufore,NGA002002
Guyuk,NGA002006
Shelleng,NGA002017
Ganaye,NGA002003
Demsa,NGA002001
Lamurde,NGA002009
Mayo-Belwa,NGA002012
Toungo,NGA002019
Numan,NGA002016
Jada,NGA002008
Bama,NGA008003
Maiduguri,NGA008021
Jere,NGA0080013
Mafa,NGA008019
Kala/Balge,NGA008015
Dikwa,NGA008008
Konduga,NGA008016
Ngala,NGA008025
Askira/Uba,NGA008002
Biu,NGA008005
Damboa,NGA008007
Chibok,NGA008006
Gwoza,NGA008011
Bayo,NGA008004
Shani,NGA008027
Hawul,NGA008012
Kwaya Kusar,NGA008018
Abadam,NGA008001
Gubio,NGA008009
Guzamala,NGA008010
Kaga,NGA008014
Kukawa,NGA008017
Magumeri,NGA008020
Monguno,NGA008024
Nganzai,NGA008026
Marte,NGA008022
Mobbar,NGA008023
Bursari,NGA036002
Damaturu,NGA036003
Geidam,NGA036006
Gujba,NGA036007
Gulani,NGA036008
Tarmua,NGA036015
Yunusari,NGA036016
Bade,NGA036001
Jakusko,NGA036009
Karasuwa,NGA036010
Machina,NGA036011
Yusufari,NGA036017
Nangere,NGA036012
Fune,NGA036005
Fika,NGA036004
Nguru,NGA036013
Potiskum,NGA036014
Velingara,SEN007003
Kolda,SEN007001
Medina Yoro Foulah,SEN007002
Louga,SEN008003
Linguere,SEN008002
Kebemer,SEN008001
Dagana,SEN010001
Podor,SEN010002
Saint Louis,SEN010003
Ranerou,SEN009003
Matam,SEN009002
Kanel,SEN009001
Kedougou,SEN006001
Saraya,SEN006003
Salemata,SEN006002
Rufisque,SEN001004
Kaffrine,SEN004002
Malem Hodar,SEN004005
Birkelane,SEN004001
Koungheul,SEN004003
Kaolack,SEN005002
Nioro Du Rip,SEN005003
Guinguineo,SEN005001
Fatick,SEN003001
Gossas,SEN003003
Foundiougne,SEN003002
Diourbel,SEN002002
Bambey,SEN002001
Mbacke,SEN002003
Bakel,SEN012001
Goudiry,SEN012002
Koumpentoum,SEN012003
Tambacounda,SEN012004
Mbour,SEN013001
Thies,SEN013002
Tivaouane,SEN013003
Bignona,SEN014001
Oussouye,SEN014002
Ziguinchor,SEN014003
Bounkiling,SEN011001
Goudomp,SEN011002
Sedhiou,SEN011003
Lac Wey,TCD008001
Dodje,TCD008002
Gueni,TCD008003
Ngourkosso,TCD008004
La Pende,TCD009001
Kouh Est,TCD009002
Kouh Ouest,TCD009003
La Nya,TCD009004
La Nya Pende,TCD009005
Monts De Lam,TCD009006
Barh Sara,TCD010002
Mandoul Oriental,TCD010001
Mandoul Occidental,TCD010003
Tandjile Centre,TCD016003
Tandjile Ouest,TCD016002
Tandjile Est,TCD016001
Baguirmi,TCD003001
Loug Chari,TCD003003
Chari,TCD003002
La Kabbia,TCD011002
Mayo Boneye,TCD011001
Mayo Lemye,TCD011003
Mont Illi,TCD011004
Lac Lere,TCD012002
Mayo-Binder,TCD012003
Mayo Dallah,TCD012001
Batha Ouest,TCD001001
Batha Est,TCD001002
Fittri,TCD001003
Barh-El-Gazel Nord,TCD019002
Barh-El-Gazel Ouest,TCD019003
Barh-El-Gazel Sud,TCD019001
Nord Kanem,TCD006002
Wadi Bissam,TCD006003
Kanem,TCD006001
Dababa,TCD005002
Dagana,TCD005001
Haraze Al Biar,TCD005003
Bahr Azoum,TCD015001
Aboudeia,TCD015002
Haraze Mangueigne,TCD015003
Bahr Koh,TCD013001
Grande Sido,TCD013002
Lac Iro,TCD013003
Djourf Al Ahmar,TCD021002
Kimiti,TCD021001
Abtouyour,TCD004002
Guera,TCD004001
Mangalme,TCD004004
Barh Signaka,TCD004003
Mamdi,TCD007001
Wayi,TCD007002
Abdi,TCD014002
Assoungha,TCD014003
Ouara,TCD014001
Biltine,TCD017001
Dar Tama,TCD017002
Kobe,TCD017003
Megri,TCD017004
Am-Djarass,TCD020001
Wadi Hawar,TCD020002
Fada,TCD023001
Mourtcha,TCD023003
Borkou Yala,TCD002002
Borkou,TCD002001
Fouli,TCD007004
Kaya,TCD007003
Tibesti Est,TCD022001
Tibesti Ouest,TCD022002
